-0,0568840600275875 -0,474185114334522 -0,154462145100661 -0,179704546865036 -0,0164444114550273 -0,0647001987085262 0,059022230736358 0,395420207041879 0,292544246468848 -0,43923528824162 0,429072452590271 -0,0840625431240877 0,0504768650821719 -0,064082466879996 0,43831217836314 -0,315339585765987 -0,289496098632788 -0,301858704065005 0,202049219756312 0,110406983376572 0,300941933233631 -0,180342223897834 0,00930186609043338 0,488360273560579 -0,37470209740983 -0,0621848491702207 0,0728110537811185 0,0910956027949625 -0,383245910549283 -0,204214316275169 -0,423946227463035 0,283334396127203 0,274344899500783 0,476695522569346 0,151984420357167 -0,225280955857361 -0,114974602032073 0,283171994424873 
0,116914408531956 -0,22780774897279 0,34412575222793 0,0886068504814336 0,154573561426078 -0,10651750941084 0,0620593207344003 0,158726459173383 -0,0643780220501708 -0,301246284917087 0,38762982413577 -0,483874347090172 0,234073845509033 -0,409366587171477 -0,0115697931454131 0,137733276727975 -0,348568095791859 -0,396016801230127 -0,00296194552532825 -0,162297383761613 -0,32447741455558 -0,47373452738518 0,343013782409982 0,448451662841022 0,259191152490789 -0,0227164023563562 0,465235974121042 -0,373736908637306 0,122117592274756 0,0543063774124528 0,264458147662464 0,144118169120127 0,280160051165713 -0,0921430581580337 0,0177810003230505 -0,133588918350887 0,202835344068654 -0,351110804327791 
0,143168256844056 -0,406096582330759 -0,0956150050058541 -0,0553445144152452 0,480277215047917 -0,147858619133827 0,18154982082716 -0,421287521291143 0,0397958803837658 0,463504401876409 -0,227011768559416 -0,385304335059225 0,303347660529172 0,0260852637552611 0,255765031835935 -0,474593176102493 0,0857334511484199 0,112703900064718 -0,0487665672351892 0,41772905353449 0,351470662138227 -0,300655072069983 -0,0496985193842991 -0,0421488064807112 -0,441336168953791 0,403370564684959 -0,0436494684319684 -0,234433380836774 -0,241979434108303 -0,151728132185351 0,0949073766530549 -0,355925910646944 0,456952896806904 -0,475402327316486 0,024399835321356 -0,0332804697990303 0,49690251463978 0,294451993255204 
-0,446887901273185 -0,00200375729627877 -0,225974316826225 0,187602514941845 0,44461155841979 -0,491144586595455 0,360398701082022 0,0145457684938937 0,258082558043193 -0,254503274932885 0,395476978444104 0,261877068428119 0,329247331853459 0,412200941418244 0,422301490044215 0,292230131694076 -0,195457625306106 -0,0905827591740053 0,109195848965496 0,412127713386813 -0,148414433549498 -0,457499437725085 0,361384761210098 -0,11842288642411 0,286285824729116 -0,342882075518927 -0,165809062864689 -0,405491946000516 -0,376663319954173 0,244343899757615 -0,532720659654139 -0,245360586453078 -0,505901778830317 0,256875369805172 -0,0312753389857667 0,362370049737419 0,0528362300370451 -0,426998993127288 
-0,21026175279207 -0,0235490550911407 0,13245737013497 0,0791229402500186 -0,31970711566053 -0,25414131580138 -0,0949054815831745 0,0311483751612816 0,054029413658894 0,217711312932514 -0,243222522993455 -0,300272357189469 0,255060175687323 -0,350012527806936 0,392528558933177 -0,38022032104933 -0,0221286954975946 -0,39792253361477 0,228077411426953 0,483914499531215 0,492782620146058 0,378959563872047 0,266130406202564 0,357356577015868 -0,0173249816186036 -0,394795411781092 -0,130316685345417 0,232303494830512 0,359244777191765 -0,336162108018384 0,0349422103373406 -0,348602629759875 -0,169140168409639 -0,176992702245489 -0,162983058427232 -0,14991714798866 -0,00299170879345317 0,489800574155186 
0,481120557380676 0,234438956456709 -0,404604525395705 -0,125949670986935 0,222001390267409 0,235392503648027 0,45664345643817 -0,457478083319474 -0,391803396484478 0,436204747598028 -0,0189762659410246 -0,506768578335756 -0,102083055252003 -0,0144399259257658 -0,246794482244303 0,187834609951061 -0,300868733828115 -0,0961804552402598 0,203361400130153 0,268141654542958 -0,41051121670752 -0,431870842455581 0,369216230967894 0,165831885010171 0,164944459393374 -0,116767616898865 -0,324190035980969 -0,401579031809723 0,361908672644028 -0,0749062606433312 0,306011392044154 0,0354865683456944 0,11581224916798 -0,0188884082289235 -0,484427298081061 0,38825424788463 0,283134817841305 0,0133480840473784 
-0,554175988869774 0,319603740080124 0,189578958103286 -0,270981060773542 0,285873822228973 -0,277655595417856 -0,459854401702876 0,154879193053108 0,0547867847592067 0,338247973788694 0,187057690010016 -0,0681089408351125 -0,587258130891785 0,222063234338615 -0,0644127105932252 0,0177324741891761 0,189177628388294 0,300282305871317 0,252513631523875 -0,183145504370816 0,0963967756547509 -0,273940086798666 -0,0531265543359432 0,245513394282953 -0,432095849928442 0,0703937701939135 -0,482515738411066 0,332828071748341 -0,235289921468676 0,304096259011981 -0,142721721809644 -0,247757824093873 0,291990698144816 0,0730740881595664 -0,260463515724222 0,165298610696291 0,360103647085935 0,142010794712285 
-0,341630274846341 0,0229862162239638 0,00180067655126048 0,38617965617848 0,204559988180142 -0,28632361993145 -0,212522331981526 -0,193867996682646 -0,111533739913332 0,460062547543752 0,476013668777133 0,474194164817018 0,168048353220996 -0,408595214114164 -0,488144993801032 -0,157605287949665 0,293065698230841 0,201628443155902 -0,145405360356922 0,425929909047344 -0,357020865618089 -0,302655602737929 -0,313275511779779 -0,310818128224206 -0,127966540251206 0,232554870974237 -0,0371659591746506 -0,0833201406690999 0,121764706247082 -0,178467873824341 -0,0356089047101515 0,252153023937494 0,139493172330252 -0,470968821096979 0,218350365136619 -0,194034800281127 0,391491603496885 0,286654903895232 
0,151177403759024 -0,137125455666661 0,0877132050023108 0,391449625492036 -0,188395011154923 -0,312900807216987 0,48649188170904 -0,0798066075478613 -0,234274615471183 -0,104449028957648 -0,12993535155501 0,0792734648323127 0,409685868666557 0,167585519857708 -0,0596185502089548 -0,436148783223577 0,128709139068206 0,49612936743747 -0,128634232450376 -0,152277155678652 0,0492502359755669 0,507109156751786 0,285946378789082 0,405901848233455 0,219471336616153 -0,39796182654311 0,0307754917997851 -0,24103531561448 -0,130194967967353 0,174121213863856 -0,0918415397049023 0,240993846025977 -0,0139928519006687 -0,45848516611851 -0,361205226738371 -0,419936170825509 -0,0734395620902155 -0,160126757245374 
0,489581724807768 -0,396532388172017 -0,193467693542471 -0,444317616312569 0,070671802836195 -0,328874613826227 -0,349542472723315 -0,353666442194455 0,015688573899877 0,400647891822916 -0,0843861094627759 0,179484271944604 0,00416435622558992 0,326063314089924 0,538441748560024 0,147611075566312 -0,158753015689559 0,194670869079143 0,127530787616161 0,23241397884076 -0,277419089052212 -0,239830562539908 0,206926323055133 0,278129819395424 -0,399009017508604 0,142206792736865 0,537995132819159 0,179673424490919 -0,356131061195114 0,418773656856972 0,0793933686679836 -0,0890797573115411 0,187893400938544 -0,160561481614515 -0,42735115277237 -0,16600063968043 -0,392708257538253 0,0596690568860648 
